trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
415,True,"{'a': 0, 'e': 0}",20,8,20.129445153158734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,True,"{'a': 0, 'e': 0}",25,13,16.49686365017771,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,True,"{'a': 0, 'e': 0}",25,17,15.402341248176201,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,True,"{'a': 0, 'e': 0}",25,13,21.1079505318173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,True,"{'a': 0, 'e': 0}",25,7,33.74236625116032,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,True,"{'a': 0, 'e': 0}",20,3,32.42169185159869,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,True,"{'a': 0, 'e': 0}",30,12,31.115446188514564,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,True,"{'a': 0, 'e': 0}",20,13,9.955279740820185,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,True,"{'a': 0, 'e': 0}",30,14,26.835788794842752,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,True,"{'a': 0, 'e': 0}",20,9,15.544829792099966,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,True,"{'a': 0, 'e': 0}",30,12,27.429232238003856,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,True,"{'a': 0, 'e': 0}",25,11,22.461468495749777,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,True,"{'a': 0, 'e': 0}",20,3,24.95266120468355,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,True,"{'a': 0, 'e': 0}",25,19,11.297735836523682,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,True,"{'a': 0, 'e': 0}",25,14,23.264713664105273,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,True,"{'a': 0, 'e': 0}",20,6,20.812332646188544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,True,"{'a': 0, 'e': 0}",25,10,24.864971826298362,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
